iter	Passed	Remaining
0	1544	3086458
1	2655	2652586
2	3518	2342367
3	4753	2372108
4	5671	2263022
5	6545	2175125
6	7406	2108735
7	8306	2068363
8	9197	2034607
9	10072	2004474
10	10953	1980554
11	11868	1966253
12	12766	1951255
13	13701	1943676
14	14696	1944866
15	15791	1958149
16	16730	1951595
17	17676	1946345
18	18549	1933985
19	19433	1923937
20	20375	1920124
21	21256	1911164
22	22133	1902514
23	23119	1903501
24	23998	1895893
25	24886	1889428
26	25839	1888227
27	26711	1881243
28	27567	1873665
29	28514	1872460
30	29399	1867315
31	30267	1861477
32	31294	1865317
33	32170	1860184
34	33039	1854955
35	33969	1853247
36	34854	1849161
37	35737	1845202
38	36679	1844318
39	37547	1839848
40	38432	1836330
41	39631	1847579
42	40698	1852263
43	41528	1846127
44	42325	1838819
45	43165	1833585
46	44035	1829802
47	44879	1825108
48	45711	1820068
49	46542	1815170
50	47379	1810636
51	48220	1806424
52	49042	1801630
53	49906	1798493
54	50723	1793754
55	51533	1788961
56	52400	1786215
57	53265	1783477
58	54078	1779080
59	54884	1774599
60	55844	1775113
61	56688	1771970
62	57519	1768494
63	58651	1774199
64	59581	1773699
65	60450	1771378
66	61238	1766765
67	62032	1762451
68	62859	1759165
69	63678	1755695
70	64499	1752380
71	65338	1749621
72	66133	1745748
73	66965	1742923
74	67781	1739718
75	68599	1736645
76	69449	1734424
77	70247	1730982
78	71050	1727699
79	71876	1725035
80	72688	1722086
81	73499	1719167
82	74314	1716396
83	75115	1713347
84	76194	1716619
85	77180	1717719
86	78200	1719511
87	79007	1716608
88	79931	1716283
89	80842	1715659
90	81831	1716660
91	82912	1719524
92	83866	1719707
93	84717	1717774
94	85527	1715051
95	86310	1711818
96	87103	1708848
97	87894	1705878
98	88823	1705588
99	89898	1708078
100	90766	1706599
101	91715	1706624
102	92631	1706039
103	93540	1705323
104	94455	1704698
105	95310	1702992
106	96188	1701728
107	97009	1699463
108	97828	1697196
109	98663	1695212
110	99479	1692948
111	100307	1690897
112	101113	1688502
113	101933	1686366
114	102750	1684220
115	103554	1681875
116	104373	1679790
117	105205	1677945
118	106022	1675872
119	106865	1674232
120	107743	1673138
121	108581	1671445
122	109432	1669965
123	110237	1667791
124	111043	1665645
125	111854	1663607
126	112764	1663054
127	113690	1662721
128	114551	1661446
129	115452	1660744
130	116310	1659422
131	117169	1658125
132	117997	1656394
133	118878	1655429
134	119749	1654311
135	120598	1652915
136	121453	1651592
137	122565	1653739
138	123534	1653946
139	124349	1652068
140	125151	1650045
141	125942	1647889
142	126729	1645711
143	127529	1643719
144	128345	1641936
145	129159	1640149
146	129964	1638263
147	130757	1636239
148	131552	1634250
149	132350	1632322
150	133131	1630202
151	133931	1628319
152	134735	1626506
153	135537	1624684
154	136352	1623034
155	137145	1621132
156	137933	1619181
157	138735	1617406
158	139554	1615850
159	140362	1614171
160	141180	1612610
161	141976	1610817
162	142777	1609096
163	143581	1607412
164	144383	1605715
165	145266	1604931
166	146119	1603819
167	146924	1602175
168	147727	1600530
169	148515	1598725
170	149330	1597223
171	150135	1595631
172	150950	1594145
173	151750	1592510
174	152567	1591063
175	153414	1589933
176	154222	1588406
177	155039	1586975
178	155855	1585548
179	156670	1584116
180	157499	1582828
181	158318	1581449
182	159129	1579995
183	159971	1578850
184	160799	1577572
185	161626	1576291
186	162455	1575035
187	163328	1574210
188	164161	1573001
189	165007	1571914
190	166277	1574851
191	167137	1573880
192	167936	1572338
193	168718	1570648
194	169589	1569792
195	170410	1568469
196	171282	1567622
197	172139	1566640
198	172942	1565170
199	173750	1563750
200	174533	1562117
201	175330	1560613
202	176119	1559052
203	176913	1557535
204	177706	1556012
205	178485	1554381
206	179278	1552879
207	180078	1551446
208	180880	1550034
209	181668	1548510
210	182489	1547265
211	183296	1545912
212	184075	1544336
213	184878	1542958
214	185697	1541718
215	186492	1540291
216	187283	1538832
217	188082	1537447
218	188889	1536126
219	189689	1534760
220	190517	1533622
221	191336	1532412
222	192136	1531062
223	192948	1529806
224	193755	1528513
225	194555	1527177
226	195360	1525878
227	196184	1524735
228	197011	1523613
229	197819	1522352
230	198631	1521123
231	199454	1519982
232	200268	1518773
233	201110	1517782
234	201928	1516609
235	202764	1515580
236	203616	1514663
237	204451	1513629
238	205282	1512562
